date,temp_max,temp_min,target,lag_1,lag_2,lag_3,lag_7,rolling_mean_3,rolling_mean_7,day_of_week,month
2023-01-08,8.2,4.9,8.2,10.1,10.0,9.6,15.8,9.433333333333334,10.157142857142857,6,1
2023-01-09,8.0,4.1,8.0,8.2,10.1,10.0,14.4,8.766666666666666,9.242857142857142,0,1
2023-01-10,7.4,3.1,7.4,8.0,8.2,10.1,8.6,7.866666666666667,9.071428571428571,1,1
2023-01-11,7.9,3.1,7.9,7.4,8.0,8.2,10.2,7.766666666666667,8.742857142857144,2,1
2023-01-12,9.8,5.5,9.8,7.9,7.4,8.0,9.6,8.366666666666667,8.77142857142857,3,1
2023-01-13,10.1,6.8,10.1,9.8,7.9,7.4,10.0,9.266666666666667,8.785714285714286,4,1
2023-01-14,8.0,6.4,8.0,10.1,9.8,7.9,10.1,9.299999999999999,8.485714285714286,5,1
2023-01-15,9.1,5.3,9.1,8.0,10.1,9.8,8.2,9.066666666666666,8.614285714285714,6,1
2023-01-16,6.7,1.8,6.7,9.1,8.0,10.1,8.0,7.933333333333334,8.428571428571429,0,1
2023-01-17,4.2,-2.3,4.2,6.7,9.1,8.0,7.4,6.666666666666667,7.971428571428572,1,1
2023-01-18,1.8,-4.1,1.8,4.2,6.7,9.1,7.9,4.233333333333333,7.1000000000000005,2,1
2023-01-19,2.0,-3.8,2.0,1.8,4.2,6.7,9.8,2.6666666666666665,5.985714285714286,3,1
2023-01-20,1.9,-4.1,1.9,2.0,1.8,4.2,10.1,1.9000000000000001,4.814285714285714,4,1
2023-01-21,3.0,-3.2,3.0,1.9,2.0,1.8,8.0,2.3000000000000003,4.1,5,1
2023-01-22,1.8,0.8,1.8,3.0,1.9,2.0,9.1,2.2333333333333334,3.057142857142857,6,1
2023-01-23,2.5,-0.8,2.5,1.8,3.0,1.9,6.7,2.4333333333333336,2.4571428571428577,0,1
2023-01-24,2.0,-3.0,2.0,2.5,1.8,3.0,4.2,2.1,2.142857142857143,1,1
2023-01-25,1.6,0.0,1.6,2.0,2.5,1.8,1.8,2.033333333333333,2.1142857142857143,2,1
2023-01-26,0.2,-1.1,0.2,1.6,2.0,2.5,2.0,1.2666666666666668,1.8571428571428572,3,1
2023-01-27,3.0,-1.9,3.0,0.2,1.6,2.0,1.9,1.6000000000000003,2.0142857142857147,4,1
2023-01-28,1.8,-2.8,1.8,3.0,0.2,1.6,3.0,1.6666666666666667,1.842857142857143,5,1
2023-01-29,2.5,-2.2,2.5,1.8,3.0,0.2,1.8,2.433333333333333,1.942857142857143,6,1
2023-01-30,4.8,1.3,4.8,2.5,1.8,3.0,2.5,3.033333333333333,2.2714285714285714,0,1
2023-01-31,5.4,1.6,5.4,4.8,2.5,1.8,2.0,4.233333333333333,2.757142857142857,1,1
2023-02-01,5.5,1.9,5.5,5.4,4.8,2.5,1.6,5.233333333333333,3.314285714285714,2,2
2023-02-02,5.8,-1.8,5.8,5.5,5.4,4.8,0.2,5.566666666666666,4.114285714285715,3,2
2023-02-03,8.1,0.2,8.1,5.8,5.5,5.4,3.0,6.466666666666666,4.8428571428571425,4,2
2023-02-04,3.7,-4.6,3.7,8.1,5.8,5.5,1.8,5.866666666666667,5.114285714285715,5,2
2023-02-05,1.2,-5.7,1.2,3.7,8.1,5.8,2.5,4.333333333333333,4.928571428571429,6,2
2023-02-06,0.7,-5.8,0.7,1.2,3.7,8.1,4.8,1.8666666666666665,4.3428571428571425,0,2
2023-02-07,1.0,-7.8,1.0,0.7,1.2,3.7,5.4,0.9666666666666667,3.7142857142857144,1,2
2023-02-08,1.5,-6.1,1.5,1.0,0.7,1.2,5.5,1.0666666666666667,3.142857142857143,2,2
2023-02-09,2.9,-4.8,2.9,1.5,1.0,0.7,5.8,1.7999999999999998,2.728571428571428,3,2
2023-02-10,5.9,-2.5,5.9,2.9,1.5,1.0,8.1,3.4333333333333336,2.414285714285714,4,2
2023-02-11,7.7,1.5,7.7,5.9,2.9,1.5,3.7,5.5,2.985714285714286,5,2
2023-02-12,7.9,5.7,7.9,7.7,5.9,2.9,1.2,7.166666666666667,3.942857142857143,6,2
2023-02-13,7.5,3.2,7.5,7.9,7.7,5.9,0.7,7.7,4.914285714285714,0,2
2023-02-14,6.9,-0.4,6.9,7.5,7.9,7.7,1.0,7.433333333333334,5.757142857142857,1,2
2023-02-15,7.8,-2.3,7.8,6.9,7.5,7.9,1.5,7.3999999999999995,6.6571428571428575,2,2
2023-02-16,10.1,-1.1,10.1,7.8,6.9,7.5,2.9,8.266666666666667,7.685714285714285,3,2
2023-02-17,11.9,5.9,11.9,10.1,7.8,6.9,5.9,9.933333333333332,8.542857142857143,4,2
2023-02-18,9.9,4.9,9.9,11.9,10.1,7.8,7.7,10.633333333333335,8.857142857142858,5,2
2023-02-19,6.8,0.9,6.8,9.9,11.9,10.1,7.9,9.533333333333333,8.7,6,2
2023-02-20,9.5,1.9,9.5,6.8,9.9,11.9,7.5,8.733333333333334,8.985714285714286,0,2
2023-02-21,11.1,5.4,11.1,9.5,6.8,9.9,6.9,9.133333333333333,9.585714285714287,1,2
2023-02-22,9.9,3.8,9.9,11.1,9.5,6.8,7.8,10.166666666666666,9.885714285714286,2,2
2023-02-23,10.6,3.2,10.6,9.9,11.1,9.5,10.1,10.533333333333333,9.957142857142857,3,2
2023-02-24,6.9,1.1,6.9,10.6,9.9,11.1,11.9,9.133333333333333,9.242857142857144,4,2
2023-02-25,3.7,-0.6,3.7,6.9,10.6,9.9,9.9,7.066666666666666,8.357142857142858,5,2
2023-02-26,3.0,-3.2,3.0,3.7,6.9,10.6,6.8,4.533333333333334,7.814285714285715,6,2
2023-02-27,3.8,-4.1,3.8,3.0,3.7,6.9,9.5,3.5,7.0,0,2
2023-02-28,4.7,-4.0,4.7,3.8,3.0,3.7,11.1,3.8333333333333335,6.085714285714286,1,2
2023-03-01,7.3,-5.8,7.3,4.7,3.8,3.0,9.9,5.266666666666667,5.714285714285714,2,3
2023-03-02,5.3,-3.7,5.3,7.3,4.7,3.8,10.6,5.766666666666666,4.957142857142857,3,3
2023-03-03,3.8,-3.2,3.8,5.3,7.3,4.7,6.9,5.466666666666666,4.514285714285714,4,3
2023-03-04,6.1,0.3,6.1,3.8,5.3,7.3,3.7,5.066666666666666,4.857142857142857,5,3
2023-03-05,3.9,-1.0,3.9,6.1,3.8,5.3,3.0,4.6,4.985714285714286,6,3
2023-03-06,3.7,-2.5,3.7,3.9,6.1,3.8,3.8,4.566666666666667,4.971428571428571,0,3
