date,temp_max,temp_min
2023-01-01,15.8,10.9
2023-01-02,14.4,9.0
2023-01-03,8.6,1.1
2023-01-04,10.2,3.2
2023-01-05,9.6,5.2
2023-01-06,10.0,4.0
2023-01-07,10.1,4.2
2023-01-08,8.2,4.9
2023-01-09,8.0,4.1
2023-01-10,7.4,3.1
2023-01-11,7.9,3.1
2023-01-12,9.8,5.5
2023-01-13,10.1,6.8
2023-01-14,8.0,6.4
2023-01-15,9.1,5.3
2023-01-16,6.7,1.8
2023-01-17,4.2,-2.3
2023-01-18,1.8,-4.1
2023-01-19,2.0,-3.8
2023-01-20,1.9,-4.1
2023-01-21,3.0,-3.2
2023-01-22,1.8,0.8
2023-01-23,2.5,-0.8
2023-01-24,2.0,-3.0
2023-01-25,1.6,0.0
2023-01-26,0.2,-1.1
2023-01-27,3.0,-1.9
2023-01-28,1.8,-2.8
2023-01-29,2.5,-2.2
2023-01-30,4.8,1.3
2023-01-31,5.4,1.6
2023-02-01,5.5,1.9
2023-02-02,5.8,-1.8
2023-02-03,8.1,0.2
2023-02-04,3.7,-4.6
2023-02-05,1.2,-5.7
2023-02-06,0.7,-5.8
2023-02-07,1.0,-7.8
2023-02-08,1.5,-6.1
2023-02-09,2.9,-4.8
2023-02-10,5.9,-2.5
2023-02-11,7.7,1.5
2023-02-12,7.9,5.7
2023-02-13,7.5,3.2
2023-02-14,6.9,-0.4
2023-02-15,7.8,-2.3
2023-02-16,10.1,-1.1
2023-02-17,11.9,5.9
2023-02-18,9.9,4.9
2023-02-19,6.8,0.9
2023-02-20,9.5,1.9
2023-02-21,11.1,5.4
2023-02-22,9.9,3.8
2023-02-23,10.6,3.2
2023-02-24,6.9,1.1
2023-02-25,3.7,-0.6
2023-02-26,3.0,-3.2
2023-02-27,3.8,-4.1
2023-02-28,4.7,-4.0
2023-03-01,7.3,-5.8
2023-03-02,5.3,-3.7
2023-03-03,3.8,-3.2
2023-03-04,6.1,0.3
2023-03-05,3.9,-1.0
2023-03-06,3.7,-2.5
2023-03-07,4.7,-2.5
2023-03-08,3.5,-2.0
2023-03-09,2.0,0.2
2023-03-10,9.7,0.4
2023-03-11,3.3,-0.4
2023-03-12,6.1,-2.2
2023-03-13,15.3,5.7
2023-03-14,13.6,2.5
2023-03-15,6.4,-0.6
2023-03-16,8.6,-2.2
2023-03-17,13.0,3.0
2023-03-18,17.2,5.3
2023-03-19,15.3,4.9
2023-03-20,11.7,6.2
2023-03-21,11.1,6.3
2023-03-22,15.8,8.0
2023-03-23,14.9,9.6
2023-03-24,15.8,7.8
2023-03-25,11.9,7.3
2023-03-26,10.8,4.9
2023-03-27,6.2,0.2
2023-03-28,6.9,-0.8
2023-03-29,10.5,0.1
2023-03-30,16.8,7.0
2023-03-31,13.2,7.2
2023-04-01,9.2,3.0
2023-04-02,7.8,1.0
2023-04-03,3.8,-1.4
2023-04-04,5.8,-3.5
2023-04-05,7.2,-2.8
2023-04-06,9.8,-3.0
2023-04-07,5.6,-1.0
2023-04-08,11.6,3.8
2023-04-09,12.4,0.0
2023-04-10,15.4,1.9
2023-04-11,12.1,4.8
2023-04-12,14.6,-0.2
2023-04-13,12.7,5.6
2023-04-14,8.7,6.1
2023-04-15,11.1,7.1
2023-04-16,10.6,7.7
2023-04-17,11.1,4.4
2023-04-18,13.6,3.3
2023-04-19,11.4,3.3
2023-04-20,14.9,4.1
2023-04-21,18.7,7.9
2023-04-22,20.6,7.0
2023-04-23,16.4,10.2
2023-04-24,15.9,8.1
2023-04-25,10.4,5.8
2023-04-26,9.8,2.4
2023-04-27,10.1,1.9
2023-04-28,15.4,1.7
2023-04-29,14.6,7.3
2023-04-30,13.1,3.6
2023-05-01,17.4,2.8
2023-05-02,12.8,8.4
2023-05-03,14.9,4.1
2023-05-04,17.1,3.3
2023-05-05,18.5,8.6
2023-05-06,11.6,8.4
2023-05-07,15.0,6.1
2023-05-08,16.6,5.3
2023-05-09,18.0,7.3
2023-05-10,21.5,9.5
2023-05-11,21.5,9.7
2023-05-12,21.6,12.1
2023-05-13,22.0,11.6
2023-05-14,21.0,8.4
2023-05-15,20.0,8.2
2023-05-16,16.0,9.3
2023-05-17,15.0,6.2
2023-05-18,15.2,4.4
2023-05-19,18.1,6.8
2023-05-20,19.6,8.8
2023-05-21,26.2,13.7
2023-05-22,25.2,15.4
2023-05-23,22.4,13.0
2023-05-24,15.4,9.6
2023-05-25,18.7,8.3
2023-05-26,18.7,6.9
2023-05-27,19.8,6.2
2023-05-28,22.6,7.5
2023-05-29,21.0,10.6
2023-05-30,21.5,7.2
2023-05-31,24.0,8.7
2023-06-01,21.6,11.4
2023-06-02,19.6,9.5
2023-06-03,19.5,7.1
2023-06-04,22.6,6.9
2023-06-05,25.2,10.1
2023-06-06,25.4,14.8
2023-06-07,28.3,15.8
2023-06-08,28.2,16.1
2023-06-09,28.5,16.1
2023-06-10,28.9,15.3
