date,temp_max,temp_min
2023-01-01,5.9,-0.4
2023-01-02,4.9,-5.4
2023-01-03,3.1,-5.7
2023-01-04,0.4,-4.9
2023-01-05,-2.7,-14.9
2023-01-06,-16.5,-26.1
2023-01-07,-24.4,-27.5
2023-01-08,-16.4,-24.5
2023-01-09,-18.5,-23.6
2023-01-10,-12.3,-20.9
2023-01-11,-9.1,-14.8
2023-01-12,-7.8,-9.9
2023-01-13,-4.4,-8.1
2023-01-14,-2.2,-4.2
2023-01-15,-2.5,-4.2
2023-01-16,-3.3,-5.3
2023-01-17,0.9,-3.3
2023-01-18,1.1,-0.9
2023-01-19,2.1,0.7
2023-01-20,2.8,1.3
2023-01-21,0.9,-6.4
2023-01-22,-3.2,-8.4
2023-01-23,-3.3,-6.7
2023-01-24,-1.6,-6.3
2023-01-25,-2.0,-9.1
2023-01-26,-2.0,-3.3
2023-01-27,-2.5,-3.6
2023-01-28,-1.8,-4.4
2023-01-29,-2.0,-4.9
2023-01-30,-1.5,-4.4
2023-01-31,-0.5,-2.3
2023-02-01,-0.2,-2.4
2023-02-02,-1.4,-4.0
2023-02-03,0.1,-2.5
2023-02-04,-0.4,-3.5
2023-02-05,-2.0,-5.9
2023-02-06,-4.2,-7.9
2023-02-07,-6.3,-14.5
2023-02-08,-3.7,-14.3
2023-02-09,-1.1,-3.6
2023-02-10,-1.6,-5.1
2023-02-11,-1.7,-6.3
2023-02-12,-1.1,-9.9
2023-02-13,0.3,-11.9
2023-02-14,0.6,-1.7
2023-02-15,-2.5,-4.9
2023-02-16,-4.3,-8.3
2023-02-17,-5.9,-11.8
2023-02-18,-5.8,-12.0
2023-02-19,-6.8,-8.2
2023-02-20,-6.7,-11.6
2023-02-21,-12.0,-15.6
2023-02-22,-13.2,-17.9
2023-02-23,-8.8,-16.0
2023-02-24,-4.1,-12.0
2023-02-25,1.2,-3.8
2023-02-26,1.2,-3.5
2023-02-27,-3.6,-8.7
2023-02-28,-1.8,-10.2
2023-03-01,-3.5,-8.2
2023-03-02,-2.5,-8.0
2023-03-03,1.1,-4.7
2023-03-04,-0.6,-7.2
2023-03-05,-0.9,-6.8
2023-03-06,-2.5,-7.6
2023-03-07,-1.4,-8.1
2023-03-08,0.6,-10.8
2023-03-09,-1.0,-7.9
2023-03-10,-4.2,-8.9
2023-03-11,-0.4,-9.8
2023-03-12,5.6,-3.5
2023-03-13,-1.5,-7.9
2023-03-14,3.3,-8.0
2023-03-15,4.8,1.0
2023-03-16,2.3,0.4
2023-03-17,2.7,-6.6
2023-03-18,1.8,-10.1
2023-03-19,0.6,-10.8
2023-03-20,3.1,-9.1
2023-03-21,5.2,-3.5
2023-03-22,4.0,-0.5
2023-03-23,7.6,0.2
2023-03-24,7.3,-0.2
2023-03-25,9.5,-2.4
2023-03-26,7.8,1.0
2023-03-27,9.1,0.3
2023-03-28,9.8,-2.3
2023-03-29,7.8,2.8
2023-03-30,6.2,-0.4
2023-03-31,5.4,-3.8
2023-04-01,9.1,-0.2
2023-04-02,9.9,3.3
2023-04-03,13.4,3.5
2023-04-04,13.6,4.4
2023-04-05,14.1,1.5
2023-04-06,13.9,1.6
2023-04-07,10.6,-0.6
2023-04-08,12.1,-1.8
2023-04-09,13.9,0.1
2023-04-10,12.7,0.8
2023-04-11,15.2,2.6
2023-04-12,17.0,2.2
2023-04-13,16.6,3.8
2023-04-14,7.6,0.6
2023-04-15,8.1,-1.9
2023-04-16,12.3,-1.0
2023-04-17,13.9,0.2
2023-04-18,14.9,4.7
2023-04-19,16.1,4.3
2023-04-20,16.4,1.9
2023-04-21,15.6,2.0
2023-04-22,15.1,3.1
2023-04-23,18.4,2.3
2023-04-24,20.7,3.4
2023-04-25,18.1,5.5
2023-04-26,15.8,7.8
2023-04-27,20.1,4.0
2023-04-28,15.4,7.1
2023-04-29,12.9,2.7
2023-04-30,12.2,0.3
2023-05-01,10.9,3.1
2023-05-02,14.2,-0.6
2023-05-03,14.4,5.7
2023-05-04,13.9,0.9
2023-05-05,8.0,1.6
2023-05-06,7.0,-1.5
2023-05-07,8.3,-2.7
2023-05-08,10.7,-2.5
2023-05-09,13.1,-0.6
2023-05-10,15.9,2.5
2023-05-11,17.6,6.3
2023-05-12,21.0,6.1
2023-05-13,22.4,8.1
2023-05-14,17.2,8.2
2023-05-15,18.8,3.9
2023-05-16,20.0,7.8
2023-05-17,23.2,8.1
2023-05-18,25.4,9.0
2023-05-19,17.1,11.2
2023-05-20,14.5,8.4
2023-05-21,17.0,7.6
2023-05-22,21.2,6.8
2023-05-23,19.4,9.4
2023-05-24,21.5,13.1
2023-05-25,20.8,13.0
2023-05-26,24.9,10.1
2023-05-27,21.4,12.5
2023-05-28,17.1,8.3
2023-05-29,20.6,6.8
2023-05-30,21.5,7.3
2023-05-31,14.3,8.4
2023-06-01,20.9,5.6
2023-06-02,24.0,7.4
2023-06-03,12.4,7.1
2023-06-04,14.5,3.4
2023-06-05,18.0,6.8
2023-06-06,19.8,6.4
2023-06-07,22.4,8.6
2023-06-08,22.9,10.6
2023-06-09,24.1,12.4
2023-06-10,16.8,8.4
2023-06-11,17.0,5.6
2023-06-12,19.1,6.7
2023-06-13,21.4,7.9
2023-06-14,23.9,7.6
2023-06-15,25.9,10.1
2023-06-16,27.5,11.9
2023-06-17,27.1,12.7
2023-06-18,24.5,12.5
2023-06-19,22.2,10.1
2023-06-20,24.5,10.4
2023-06-21,21.7,9.5
2023-06-22,25.6,8.1
2023-06-23,20.7,13.2
2023-06-24,19.6,13.4
2023-06-25,23.0,10.8
2023-06-26,24.1,12.5
2023-06-27,24.0,13.4
2023-06-28,22.0,13.5
2023-06-29,21.1,13.9
2023-06-30,18.5,12.4
2023-07-01,24.6,13.5
2023-07-02,23.2,15.2
2023-07-03,23.4,14.6
2023-07-04,25.2,11.6
2023-07-05,25.6,13.7
2023-07-06,28.2,14.1
2023-07-07,27.2,18.8
2023-07-08,22.7,16.8
2023-07-09,24.0,13.1
2023-07-10,20.4,14.3
2023-07-11,17.8,12.1
2023-07-12,16.5,10.4
2023-07-13,16.6,12.1
2023-07-14,18.2,12.6
2023-07-15,19.2,13.6
2023-07-16,22.3,12.6
2023-07-17,26.4,12.7
2023-07-18,26.4,16.6
2023-07-19,19.2,14.1
2023-07-20,20.5,12.6
2023-07-21,20.9,11.6
2023-07-22,22.8,12.2
2023-07-23,22.0,12.5
2023-07-24,19.2,12.1
2023-07-25,23.5,11.8
2023-07-26,24.2,16.5
2023-07-27,24.5,14.9
2023-07-28,24.4,16.8
2023-07-29,17.5,13.6
2023-07-30,22.7,11.7
2023-07-31,24.5,12.4
2023-08-01,26.0,13.4
2023-08-02,25.6,14.9
2023-08-03,28.5,17.0
2023-08-04,27.8,18.7
2023-08-05,30.5,16.0
2023-08-06,30.7,17.8
2023-08-07,29.3,19.6
2023-08-08,26.0,19.8
2023-08-09,24.6,16.6
2023-08-10,24.6,14.4
2023-08-11,26.0,14.8
2023-08-12,24.1,19.5
2023-08-13,20.3,16.6
2023-08-14,23.5,15.5
2023-08-15,25.0,15.0
2023-08-16,25.6,14.4
2023-08-17,26.6,14.5
2023-08-18,27.7,15.0
2023-08-19,27.2,16.6
2023-08-20,25.2,16.8
2023-08-21,20.9,12.6
2023-08-22,19.4,12.3
2023-08-23,19.9,11.8
2023-08-24,17.1,11.9
2023-08-25,18.5,8.4
2023-08-26,19.2,8.4
2023-08-27,21.0,10.4
2023-08-28,20.3,9.9
2023-08-29,17.4,9.9
2023-08-30,20.2,11.3
2023-08-31,24.7,11.6
2023-09-01,26.6,14.3
2023-09-02,20.8,14.3
2023-09-03,22.0,12.6
2023-09-04,21.7,10.5
2023-09-05,21.5,9.9
2023-09-06,21.2,12.0
2023-09-07,16.4,8.1
2023-09-08,14.8,8.4
2023-09-09,16.2,6.3
2023-09-10,18.0,8.2
2023-09-11,19.2,7.2
2023-09-12,19.0,6.5
2023-09-13,19.8,6.7
2023-09-14,19.9,6.7
2023-09-15,20.5,8.0
2023-09-16,16.2,7.2
2023-09-17,17.5,4.1
2023-09-18,17.0,8.4
2023-09-19,20.4,7.3
2023-09-20,23.7,12.3
2023-09-21,20.1,13.6
2023-09-22,24.4,11.4
2023-09-23,23.9,12.6
2023-09-24,24.4,13.1
2023-09-25,19.0,9.8
2023-09-26,17.0,5.9
2023-09-27,18.9,5.9
2023-09-28,21.2,6.9
2023-09-29,22.6,10.4
2023-09-30,22.0,10.8
2023-10-01,17.2,10.2
2023-10-02,13.8,7.2
2023-10-03,15.8,6.0
2023-10-04,17.2,11.1
2023-10-05,14.1,8.1
2023-10-06,12.9,4.7
2023-10-07,9.4,0.2
2023-10-08,6.5,1.9
2023-10-09,4.8,1.8
2023-10-10,3.7,0.6
2023-10-11,7.1,-1.5
2023-10-12,12.2,5.2
2023-10-13,12.1,5.4
2023-10-14,13.8,5.2
2023-10-15,13.5,7.8
2023-10-16,7.8,5.3
2023-10-17,5.4,1.4
2023-10-18,5.7,1.4
2023-10-19,5.9,3.8
2023-10-20,5.9,2.9
2023-10-21,4.9,-3.0
2023-10-22,3.5,-3.2
2023-10-23,6.0,1.6
2023-10-24,2.3,-1.0
2023-10-25,0.8,-3.8
2023-10-26,0.8,-4.2
2023-10-27,-0.3,-2.8
2023-10-28,0.2,-1.6
2023-10-29,0.6,-0.9
2023-10-30,5.4,-5.2
2023-10-31,10.2,4.6
2023-11-01,14.6,8.1
2023-11-02,11.3,1.2
2023-11-03,5.5,-1.3
2023-11-04,6.6,-1.8
2023-11-05,11.7,6.8
2023-11-06,10.4,7.2
2023-11-07,9.2,5.7
2023-11-08,7.8,2.8
2023-11-09,7.2,0.3
2023-11-10,6.3,3.0
2023-11-11,6.4,2.2
2023-11-12,7.4,1.4
2023-11-13,7.2,1.9
2023-11-14,4.0,2.3
2023-11-15,3.2,-0.2
2023-11-16,1.1,-1.4
2023-11-17,-1.7,-7.2
2023-11-18,-4.2,-8.5
2023-11-19,-5.2,-8.9
2023-11-20,-5.0,-8.8
2023-11-21,-6.4,-9.4
2023-11-22,-6.7,-8.8
2023-11-23,-6.6,-7.9
2023-11-24,-5.6,-7.6
2023-11-25,-5.6,-7.4
2023-11-26,-4.8,-7.7
2023-11-27,2.2,-5.3
2023-11-28,-2.3,-7.6
2023-11-29,-1.8,-17.5
2023-11-30,0.2,-5.6
2023-12-01,-3.7,-7.2
2023-12-02,-4.8,-8.3
2023-12-03,-5.2,-6.6
2023-12-04,-6.3,-9.1
2023-12-05,-10.4,-16.2
2023-12-06,-11.5,-17.4
2023-12-07,-11.0,-15.1
2023-12-08,-13.3,-15.4
2023-12-09,-13.3,-15.7
2023-12-10,-9.9,-14.3
2023-12-11,-6.7,-9.7
2023-12-12,-5.1,-7.9
2023-12-13,-7.8,-12.4
2023-12-14,-9.5,-11.8
2023-12-15,-6.7,-12.1
2023-12-16,-3.8,-11.9
2023-12-17,2.5,-7.6
2023-12-18,1.7,-5.8
2023-12-19,3.1,1.1
2023-12-20,3.2,-0.6
2023-12-21,0.9,-0.3
2023-12-22,1.0,-2.5
2023-12-23,1.4,-0.9
2023-12-24,-1.4,-8.6
2023-12-25,-2.9,-9.4
2023-12-26,0.6,-3.5
2023-12-27,-2.2,-8.0
2023-12-28,-2.9,-6.7
2023-12-29,1.6,-7.0
2023-12-30,1.9,0.2
2023-12-31,1.1,-12.8
2024-01-01,-12.9,-19.0
